X,Y,Target
40.186512,-12.600614,1
17.321163,7.7985144,1
54.683838,25.666168,1
-7.7253494,14.377132,1
-5.2126627,29.851229,1
40.188812,-12.599608,1
17.316624,3.9222407,1
16.520203,7.0142703,1
-8.755503,35.56838,0
-10.794257,-14.185493,1
12.707537,6.827014,1
24.088802,2.4122853,1
23.737734,36.840496,1
-2.2175703,2.5773835,1
-2.4776044,-17.963896,1
56.01699,26.645782,1
5.8651223,-8.238556,1
-8.686644,-41.19705,1
-0.6344599,1.6392512,1
42.587143,-6.989767,1
-26.663599,19.744534,1
-16.711988,-33.760532,1
-5.5893626,4.8095193,1
-4.4894114,5.280457,1
6.6126304,-10.639503,1
-28.52138,24.261105,1
-31.224384,12.475094,1
-15.967385,-32.593693,1
2.0092053,-12.967141,1
-11.919657,30.14153,1
-10.416454,7.882475,1
5.311055,24.526037,0
48.194542,-6.6860495,0
35.329636,-22.66311,0
-8.543533,-16.742376,1
-31.5905,12.462232,1
-5.7445016,10.821547,1
-12.168867,-28.02707,1
6.2123733,-19.607203,1
6.864272,-23.814018,1
-24.670345,-14.00101,0
-18.543997,12.66571,0
-20.549133,-32.21002,0
5.1445937,-15.350605,1
-8.136083,-26.898466,1
-15.624886,-30.386827,0
-5.2644143,-46.3953,0
-25.14331,20.33382,0
-8.137563,-26.916983,0
39.03249,-25.136995,0
6.370647,-24.212025,1
-27.711357,24.55455,1
-24.199974,20.130745,1
-16.893349,-30.918926,0
-9.97214,-12.469916,1
1.1471267,18.004976,0
-5.2472224,-11.340052,0
-28.06314,22.843122,1
-16.691828,-11.507241,1
-21.637249,-33.763596,1
-14.193708,-29.251686,0
40.76397,-22.675262,0
-4.40659,18.485336,1
47.59952,-8.6240425,0
56.01699,26.645782,1
40.00956,-25.189018,1
-29.73406,11.41291,0
-10.335241,19.942806,0
23.400543,3.5835595,1
-10.305015,-13.26653,1
24.787878,2.137268,1
-24.20735,-15.15388,1
-5.319206,29.095755,1
-9.100872,31.165548,1
4.0158086,21.958317,1
-21.384752,-24.35449,1
40.186512,-12.600614,1
-11.157419,-14.9741535,1
-16.926378,-13.058494,1
20.509588,0.41931096,1
-18.979023,-12.221976,0
-8.354715,-11.939233,1
-8.652044,40.152557,1
-8.247764,14.826719,0
3.8914666,20.121895,1
17.97159,8.012524,0
6.1174088,-20.486568,1
47.188095,-7.8599095,1
23.737734,36.840496,1
-8.8017845,13.6442995,0
-25.134014,-14.151623,1
-2.051286,-17.630825,1
56.01699,26.645782,1
15.706963,5.535342,1
-4.180866,10.998392,1
-9.137256,36.069843,1
-9.3741665,8.54831,1
-2.0522687,-17.63093,1
56.01699,26.645782,1
-7.288741,40.134167,1
-5.033333,30.765919,0
22.690474,2.962288,1
41.147236,-20.700264,1
-18.776203,-9.059402,1
-11.056993,-14.829609,1
-9.30642,36.62965,1
-8.441234,39.91851,0
23.150797,0.08513484,0
-12.686227,-26.030743,1
38.484375,-19.355392,1
-5.825152,40.462143,1
-11.098793,-17.962746,1
44.332596,-7.437758,0
-2.4008286,3.6824505,1
-25.733597,19.57187,1
6.3620915,-23.532053,1
-10.267258,-17.79467,1
-9.001881,-13.375981,1
5.1475515,-15.237359,1
-12.267819,31.468603,1
18.153816,2.1953657,0
20.185532,5.570064,1
-8.901028,36.416,1
3.3830464,-16.082996,1
-4.1156907,2.7486548,1
-5.8710647,40.151234,1
5.6009126,-17.119154,1
23.328106,0.76361966,1
54.683838,25.666168,0
-27.44757,23.863373,1
-8.594608,-40.861362,1
-5.509765,10.909551,1
-5.4838037,39.039,1
-16.154747,-32.791195,1
-10.3342,7.920815,1
-7.065658,-44.446693,1
-27.638437,14.33507,0
-17.617,-34.416145,1
-0.19774713,-17.651161,1
-14.572925,-29.49923,0
4.3940997,22.2938,1
-9.851113,17.841421,1
-5.949669,-11.64936,1
-23.593563,-34.362015,1
-17.065477,-8.712556,1
-7.0765643,28.839958,1
-8.604145,7.6188593,1
-31.841825,10.407125,1
-27.56293,22.669857,1
-5.3325,-46.71846,1
-13.113195,-17.879192,0
-15.477318,13.638013,1
-21.619307,-32.50486,1
-5.7269197,-44.454674,1
22.401327,36.88443,1
4.486878,-11.077241,1
2.9358172,-19.13492,1
-13.17879,-17.979004,0
2.9942296,-14.692696,1
-8.91063,-16.791859,1
-32.304123,10.297826,0
-11.084584,28.326475,1
-12.739544,-27.530434,1
4.9292016,-11.531188,1
6.5634212,-24.168074,1
-9.3892765,-15.795894,1
-25.841078,19.760096,1
4.669861,24.072966,1
56.01699,26.645782,1
-9.525695,-13.444528,0
15.664359,4.7077727,1
-4.735697,31.745663,1
47.997013,-7.251878,1
-6.8886695,31.7822,1
-23.00224,-34.259007,1
2.631306,11.608397,1
7.2559586,-11.093188,1
-14.467991,13.428117,1
-21.207062,-12.447656,1
-9.570676,36.686462,0
-5.9783716,5.8195767,1
-26.762657,25.06034,0
24.735537,1.2401253,0
22.401327,36.88443,1
-4.4364705,30.858284,1
-9.777344,-13.298872,1
-7.214584,-10.328937,0
2.0709038,12.634993,0
4.0056696,22.111298,1
42.80872,-10.941722,1
-20.388474,-13.141083,1
6.032161,-23.682634,0
42.841805,-10.89159,0
-23.476583,-15.341746,0
